,caption,image_path
0,Psychic Pokémon with a yellow body and two pointy ears.,Abra_000.png
1,"Flying Pokémon resembling a prehistoric, winged creature.",Aerodactyl_000.png
2,"Psychic Pokémon with a humanoid body, a mustache, and powerful psychic abilities.",Alakazam_000.png
3,Poison Pokémon with a serpentine body and a hood pattern on its neck.,Arbok_000.png
4,"Fire Pokémon resembling a large, majestic dog with a fiery mane.",Arcanine_000.png
5,Ice and Flying Pokémon resembling a legendary bird with icy wings.,Articuno_000.png
6,Bug and Poison Pokémon with a bee-like appearance and a sharp stinger.,Beedrill_000.png
7,Grass and Poison Pokémon resembling a plant with a bell-shaped head.,Bellsprout_000.png
8,"Water Pokémon with a large, turtle-like body and water cannons on its shell.",Blastoise_000.png
9,"Grass and Poison Pokémon with a small, dinosaur-like body and a plant bulb on its back.",Bulbasaur_000.png
10,Bug and Flying Pokémon resembling a butterfly with colorful wings.,Butterfree_000.png
11,"Bug Pokémon with a small, worm-like body and a voracious appetite.",Caterpie_000.png
12,"Normal Pokémon resembling a round, egg-like creature with a nurturing nature.",Chansey_000.png
13,Fire and Flying Pokémon resembling a dragon with fiery wings.,Charizard_000.png
14,"Fire Pokémon with a small, lizard-like body and a flame on its tail.",Charmander_000.png
15,"Fire Pokémon with a more developed, reptilian body and an aggressive temperament.",Charmeleon_000.png
16,"Fairy Pokémon with a round, pink body and a gentle, mystical presence.",Clefable_000.png
17,"Fairy Pokémon with a small, pink body and a playful, cute demeanor.",Clefairy_000.png
18,"Water and Ice Pokémon resembling a clam with a hard, protective shell.",Cloyster_000.png
19,"Ground Pokémon with a skull helmet, symbolizing its connection to its deceased mother.",Cubone_000.png
20,"Water and Ice Pokémon resembling a sea lion with a sleek, blubbery body.",Dewgong_000.png
21,"Ground Pokémon with a small, mole-like body and the ability to dig tunnels.",Diglett_000.png
22,"Normal Pokémon with a malleable, shape-shifting body that can mimic other Pokémon.",Ditto_000.png
23,Normal and Flying Pokémon resembling an ostrich with three heads.,Dodrio_000.png
24,Normal and Flying Pokémon resembling an ostrich with two heads.,Doduo_000.png
25,"Dragon Pokémon with a long, serpentine body and mystical powers.",Dragonair_000.png
26,"Dragon and Flying Pokémon resembling a powerful, dragon-like creature.",Dragonite_000.png
27,"Dragon Pokémon with a small, serpentine body and a playful, curious nature.",Dratini_000.png
28,"Psychic Pokémon with a yellow body, a trunk-like snout, and the ability to induce sleep.",Drowzee_000.png
29,Ground Pokémon with three heads and the ability to burrow quickly underground.,Dugtrio_000.png
30,"Normal Pokémon with a furry, fox-like appearance and the ability to evolve into various forms.",Eevee_000.png
31,Poison Pokémon with a snake-like body and a pattern of rings on its back.,Ekans_000.png
32,Electric Pokémon with a humanoid body and the ability to generate electricity.,Electabuzz_000.png
33,"Electric Pokémon resembling a round, explosive ball.",Electrode_000.png
34,Grass and Psychic Pokémon resembling a cluster of eggs with faces.,Exeggcute_000.png
35,"Grass and Psychic Pokémon with a tall, palm-like body and multiple heads.",Exeggutor_000.png
36,Normal and Flying Pokémon resembling a duck carrying a leek.,Farfetchd_000.png
37,"Normal and Flying Pokémon resembling a large, predatory bird.",Fearow_000.png
38,"Fire Pokémon with a fox-like appearance and a fiery, flame-like mane.",Flareon_000.png
39,"Ghost and Poison Pokémon resembling a gaseous, floating ball.",Gastly_000.png
40,"Ghost and Poison Pokémon with a shadowy, mischievous appearance.",Gengar_000.png
41,"Rock and Ground Pokémon with a rocky, boulder-like body.",Geodude_000.png
42,Grass and Poison Pokémon with droopy petals and a gloomy expression.,Gloom_000.png
43,Poison and Flying Pokémon resembling a bat with large wings.,Golbat_000.png
44,"Water Pokémon resembling a small, golden fish.",Goldeen_000.png
45,"Water Pokémon resembling a blue, duck-like creature with psychic powers.",Golduck_000.png
46,"Rock and Ground Pokémon resembling a sturdy, humanoid figure made of rocks.",Golem_000.png
47,"Rock and Ground Pokémon with a rocky, boulder-like body and the ability to roll.",Graveler_000.png
48,"Poison Pokémon with a slimy, amorphous body.",Grimer_000.png
49,"Fire Pokémon resembling a small, tiger-like dog with a loyal, brave nature.",Growlithe_000.png
50,"Water and Flying Pokémon resembling a fearsome, serpentine dragon.",Gyarados_000.png
51,"Ghost and Poison Pokémon with a shadowy, haunting appearance.",Haunter_000.png
52,Fighting Pokémon resembling a humanoid figure with boxing gloves.,Hitmonchan_000.png
53,"Fighting Pokémon resembling a humanoid figure with long, powerful legs.",Hitmonlee_000.png
54,"Water Pokémon resembling a small, seahorse-like creature.",Horsea_000.png
55,"Psychic Pokémon with a yellow body, a pendulum, and the ability to hypnotize others.",Hypno_000.png
56,"Grass and Poison Pokémon with a larger, more developed plant bulb on its back.",Ivysaur_000.png
57,"Normal and Fairy Pokémon with a round, pink body and the ability to lull others to sleep.",Jigglypuff_000.png
